No,house_price_of_unit_area,transaction_year,transaction_month,house_age,distance_to_the_nearest_MRT_station,number_of_convenience_stores,latitude,longitude
1,37.9,2012,Sep,32,84.87882,10,24.98298,121.54024
2,42.2,2012,Sep,19.5,306.5947,9,24.98034,121.53951
3,43.1,2012,Aug,5,390.5684,5,24.97937,121.54245
4,32.1,2012,Jul,7.1,2175.03,3,24.96305,121.51254
5,40.3,2012,Jul,34.5,623.4731,7,24.97933,121.53642
6,39.3,2012,Sep,13,492.2313,5,24.96515,121.53737
7,23.8,2012,Jul,20.4,2469.645,4,24.96108,121.51046
8,37.4,2012,Aug,17.7,350.8515,1,24.97544,121.53119
9,47.7,2012,Jul,1.5,23.38284,7,24.96772,121.54102
10,24.6,2012,Sep,14.7,1360.139,1,24.95204,121.54842
11,56.2,2012,Jul,3.1,383.8624,5,24.98085,121.54391
12,25,2012,Aug,29.6,769.4034,7,24.98281,121.53408
13,34.2,2012,Aug,37.9,488.5727,1,24.97349,121.53451
14,55.1,2012,Aug,15.4,205.367,7,24.98419,121.54243
15,22.9,2012,Sep,14.7,1935.009,2,24.96386,121.51458
16,47.7,2012,Jul,3.1,577.9615,6,24.97201,121.54722
17,34.1,2012,Aug,34.4,512.7871,6,24.98748,121.54301
18,13.2,2012,Jul,29.4,4510.359,1,24.94925,121.49542
19,13.7,2012,Aug,31.7,1160.632,0,24.94968,121.53009
20,53.5,2012,Sep,3.5,56.47425,7,24.95744,121.53711
21,27.7,2012,Sep,17.2,2175.877,3,24.96303,121.51254
22,42,2012,Aug,12.5,561.9845,5,24.98746,121.54391
23,54.4,2012,Sep,6.8,379.5575,10,24.98343,121.53762
24,25.6,2012,Aug,20.5,2185.128,3,24.96322,121.51237
25,29.8,2012,Sep,38.2,552.4371,2,24.97598,121.53381
26,17.7,2012,Sep,25.3,2707.392,3,24.96056,121.50831
27,50.8,2012,Aug,0,338.9679,9,24.96853,121.54413
28,27,2012,Aug,1.8,1455.798,1,24.9512,121.549
29,48,2012,Sep,8.9,1406.43,0,24.98573,121.52758
30,45.4,2012,Aug,0,274.0144,1,24.9748,121.53059
31,21.8,2012,Sep,20.6,2469.645,4,24.96108,121.51046
32,16.1,2012,Sep,31.9,1146.329,0,24.9492,121.53076
33,41,2012,Sep,40.9,167.5989,5,24.9663,121.54026
34,51.8,2012,Sep,8,104.8101,5,24.96674,121.54067
35,32.9,2012,Aug,12.7,170.1289,1,24.97371,121.52984
36,45.7,2012,Aug,0,208.3905,6,24.95618,121.53844
37,30.5,2012,Jul,32.7,392.4459,6,24.96398,121.5425
38,71,2012,Aug,0,292.9978,6,24.97744,121.54458
39,53.3,2012,Jul,30.6,143.8383,8,24.98155,121.54142
40,57.4,2012,Sep,9.9,279.1726,7,24.97528,121.54541
41,39.5,2012,Aug,18,373.3937,8,24.9866,121.54082
42,42.2,2012,Jul,33.4,186.9686,6,24.96604,121.54211
43,20.8,2012,Sep,18.9,1009.235,0,24.96357,121.54951
44,46.8,2012,Aug,11.4,390.5684,5,24.97937,121.54245
45,42.5,2012,Jul,12.9,492.2313,5,24.96515,121.53737
46,45.5,2012,Sep,2.1,451.2438,5,24.97563,121.54694
47,52.2,2012,Aug,0,185.4296,0,24.9711,121.5317
48,43.2,2012,Aug,3.2,489.8821,8,24.97017,121.54494
49,39.7,2012,Jul,34.9,179.4538,8,24.97349,121.54245
50,37.4,2012,Jul,15.5,815.9314,4,24.97886,121.53464
51,57.8,2012,Sep,3.5,49.66105,8,24.95836,121.53756
52,11.6,2012,Aug,16,4066.587,0,24.94297,121.50342
53,55.2,2012,Aug,0,185.4296,0,24.9711,121.5317
54,30.6,2012,Sep,13.7,1236.564,1,24.97694,121.55391
